Deployment,datetime,C_DPM,C_DPH,Match,F_DPM,F_DPH,Filter 
5,19/01/2022 13:59,11,1,1,28,1,HM
5,19/01/2022 14:59,3,1,1,26,1,HM
5,19/01/2022 15:59,0,0,0,14,1,HM
5,19/01/2022 16:59,0,0,1,0,0,HM
5,19/01/2022 17:59,1,1,0,0,0,HM
5,19/01/2022 18:59,0,0,0,1,1,HM
5,19/01/2022 19:59,0,0,1,0,0,HM
5,19/01/2022 20:59,0,0,1,0,0,HM
5,19/01/2022 21:59,0,0,1,0,0,HM
5,19/01/2022 22:59,4,1,0,0,0,HM
5,19/01/2022 23:59,1,1,1,2,1,HM
5,20/01/2022 00:59,0,0,0,1,1,HM
5,20/01/2022 01:59,0,0,1,0,0,HM
5,20/01/2022 02:59,0,0,1,0,0,HM
5,20/01/2022 03:59,0,0,1,0,0,HM
5,20/01/2022 04:59,0,0,1,0,0,HM
