Deployment,datetime,day,month,year,DPH,DPD,POD
5,16/03/2022,16,3,2022,10,1,C
5,17/03/2022,17,3,2022,12,1,C
5,18/03/2022,18,3,2022,13,1,C
5,19/03/2022,19,3,2022,9,1,C
5,20/03/2022,20,3,2022,9,1,C
5,21/03/2022,21,3,2022,3,1,C
5,22/03/2022,22,3,2022,8,1,C
5,23/03/2022,23,3,2022,1,1,C
5,24/03/2022,24,3,2022,3,1,C
6,25/03/2022,25,3,2022,2,1,C
6,26/03/2022,26,3,2022,2,1,C
6,27/03/2022,27,3,2022,3,1,C
6,28/03/2022,28,3,2022,10,1,C
6,29/03/2022,29,3,2022,9,1,C
6,30/03/2022,30,3,2022,2,1,C
6,31/03/2022,31,3,2022,1,1,C
6,01/04/2022,1,4,2022,2,1,C
6,02/04/2022,2,4,2022,3,1,C
6,03/04/2022,3,4,2022,11,1,C
6,04/04/2022,4,4,2022,1,1,C
6,05/04/2022,5,4,2022,0,0,C
6,06/04/2022,6,4,2022,2,1,C
6,07/04/2022,7,4,2022,8,1,C
6,08/04/2022,8,4,2022,5,1,C
6,09/04/2022,9,4,2022,7,1,C
6,10/04/2022,10,4,2022,3,1,C
6,11/04/2022,11,4,2022,3,1,C
6,12/04/2022,12,4,2022,4,1,C
6,13/04/2022,13,4,2022,3,1,C
6,14/04/2022,14,4,2022,5,1,C
6,15/04/2022,15,4,2022,9,1,C
6,16/04/2022,16,4,2022,6,1,C
6,17/04/2022,17,4,2022,9,1,C
6,18/04/2022,18,4,2022,7,1,C
6,19/04/2022,19,4,2022,2,1,C
6,20/04/2022,20,4,2022,10,1,C
6,21/04/2022,21,4,2022,5,1,C
6,22/04/2022,22,4,2022,8,1,C
6,23/04/2022,23,4,2022,8,1,C
6,24/04/2022,24,4,2022,7,1,C
6,25/04/2022,25,4,2022,8,1,C
6,26/04/2022,26,4,2022,9,1,C
6,27/04/2022,27,4,2022,6,1,C
6,28/04/2022,28,4,2022,3,1,C
6,29/04/2022,29,4,2022,1,1,C
6,30/04/2022,30,4,2022,4,1,C
6,01/05/2022,1,5,2022,5,1,C
6,02/05/2022,2,5,2022,6,1,C
6,03/05/2022,3,5,2022,2,1,C
6,04/05/2022,4,5,2022,2,1,C
6,05/05/2022,5,5,2022,4,1,C
6,06/05/2022,6,5,2022,5,1,C
6,07/05/2022,7,5,2022,1,1,C
6,08/05/2022,8,5,2022,1,1,C
6,09/05/2022,9,5,2022,2,1,C
6,10/05/2022,10,5,2022,3,1,C
6,11/05/2022,11,5,2022,2,1,C
6,12/05/2022,12,5,2022,3,1,C
6,13/05/2022,13,5,2022,0,0,C
6,14/05/2022,14,5,2022,1,1,C
6,15/05/2022,15,5,2022,2,1,C
6,16/05/2022,16,5,2022,1,1,C
6,17/05/2022,17,5,2022,5,1,C
6,18/05/2022,18,5,2022,5,1,C
6,19/05/2022,19,5,2022,3,1,C
6,20/05/2022,20,5,2022,4,1,C
6,21/05/2022,21,5,2022,5,1,C
6,22/05/2022,22,5,2022,2,1,C
